name,local_name,author,category,tags,version,release_date,size_bytes,latest,integrity,duplicate,non_store,path,store
Advanced Vertical FogHeight Fog Shader for Mobile Desktop and VR,Advanced Vertical FogHeight Fog Shader for Mobile Desktop and VR,,VFX,shader;vfx,1.2,,1178474,True,,,False,VFX/Shaders/Advanced Vertical FogHeight Fog Shader for Mobile Desktop and VR 1.2.unitypackage,
Adventure Creator,Adventure Creator,ICEBOX Studios,Tools/Game Toolkits,editor-tool,1.83.0,,73680573,True,,,False,Tools/Game Creator/Adventure Creator v1.83.0.unitypackage,https://assetstore.unity.com/packages/tools/game-toolkits/adventure-creator-11896
Adventurer Armor Set - Stylized Fantasy RPG,Adventurer Armor Set - Stylized Fantasy RPG,Blink,3D/Characters/Humanoids/Fantasy,medieval;prop;stylized,1.0,,21923273,True,,,False,3D/Adventurer Armor Set - Stylized Fantasy RPG v1.0.unitypackage,https://assetstore.unity.com/packages/3d/characters/humanoids/fantasy/adventurer-armor-set-stylized-fantasy-rpg-227607
ALINE,ALINE,Aron Granberg,Tools/GUI,editor-tool,1.7.9,2026-02-19,852132,True,,,False,Tools/ALINE v1.7.9 (19 Feb 2026).unitypackage,https://assetstore.unity.com/packages/tools/gui/aline-162772
All In 1 3D-Shader,All In 1 3D-Shader,Seaside Studios,VFX/Shaders,shader;vfx,2.74,2026-04-07,55895969,True,,,False,VFX/Shaders/All In 1 3D-Shader v2.74 (07 Apr 2026).unitypackage,https://assetstore.unity.com/packages/vfx/shaders/all-in-1-3d-shader-316173
All In 1 3D-Shader,All In 1 3D-Shader,Seaside Studios,VFX/Shaders,shader;vfx,2.01,2025-08-23,52662335,False,,,False,VFX/Shaders/All In 1 3D-Shader v2.01 (23 Aug 2025).unitypackage,https://assetstore.unity.com/packages/vfx/shaders/all-in-1-3d-shader-316173
All In 1 Shader Nodes,All In 1 Shader Nodes,,VFX,shader;vfx,1.12,,16178802,True,,,False,VFX/Shaders/All In 1 Shader Nodes v1.12.unitypackage,
All In 1 Springs Toolkit,All In 1 Springs Toolkit,Seaside Studios,Tools/Utilities,editor-tool;template,1.7,2026-01-28,4720623,True,,,False,Tools/All In 1 Springs Toolkit v1.7 (28 Jan 2026).unitypackage,https://assetstore.unity.com/packages/tools/utilities/all-in-1-springs-toolkit-271579
All In 1 Sprite Lighting,All In 1 Sprite Lighting,Seaside Studios,VFX/Shaders,lighting;vfx,2.25,,44039331,True,,,False,VFX/Shaders/All In 1 Sprite Lighting v2.25.unitypackage,https://assetstore.unity.com/packages/vfx/shaders/all-in-1-sprite-lighting-161831
All In 1 Sprite Shader,All In 1 Sprite Shader,Seaside Studios,VFX/Shaders,shader;vfx,4.68,2026-05-20,17120921,True,,,False,VFX/Shaders/All In 1 Sprite Shader v4.68 (20 May 2026).unitypackage,https://assetstore.unity.com/packages/vfx/shaders/all-in-1-sprite-shader-156513
All In 1 Vfx Toolkit,All In 1 Vfx Toolkit,Seaside Studios,VFX,editor-tool;template;vfx,2.3,2026-02-07,249170029,True,,,False,VFX/Shaders/All In 1 Vfx Toolkit v2.3 (07 Feb 2026).unitypackage,https://assetstore.unity.com/packages/vfx/all-in-1-vfx-toolkit-206665
